File_name,Impeler (%),Pump (%),Time Start injection,actual_start,Time Trial end
S_20_P_100_T_1.H00,20,100,4:54:15 PM,4:54:04 PM,4:54:21 PM
S_50_P_75_T_1.H00,50,75,4:28:19 PM,4:28:08 PM,4:28:19 PM
S_20_P_50_T_1.H00,20,50,4:05:07 PM,4:04:54 PM,4:05:24 PM
S_20_P_75_T_1.H00,20,75,4:42:38 PM,4:42:29 PM,4:42:48 PM
S_50_P_50_T_1.H00,50,50,3:14:40 PM,3:14:30 PM,3:15:00 PM
S_10_P_50_T_1.H00,10,50,3:36:15 PM,3:35:59 PM,3:36:34 PM
S_10_P_75_T_1.H00,10,75,4:26:40 PM,4:26:29 PM,4:26:56 PM
S_10_P_100_T_1.H00,10,100,2:56:07 PM,2:55:57 PM,2:56:18 PM
S_10_P_50_T_2.H00,10,50,3:54:01 PM,3:53:44 PM,3:54:18 PM
S_10_P_75_T_2.H00,10,75,4:37:24 PM,4:37:13 PM,4:37:43 PM
S_10_P_100_T_2.H00,10,100,3:07:51 PM,3:07:41 PM,3:08:06 PM
S_20_P_50_T_2.H00,20,50,3:28:02 PM,3:27:46 PM,3:28:21 PM
S_20_P_75_T_2.H00,20,75,4:03:49 PM,4:03:39 PM,4:03:55 PM
S_20_P_100_T_2.H00,20,100,4:27:01 PM,4:26:52 PM,4:27:12 PM
S_10_P_50_T_3.H00,10,50,4:08:59 PM,4:08:44 PM,4:09:18 PM
S_20_P_100_T_2.H00,20,100,4:27:03 PM,4:26:52 PM,4:27:15 PM
S_10_P_100_T_3.H00,10,100,3:17:36 PM,3:17:27 PM,3:17:52 PM
S_20_P_50_T_3.H00,20,50,3:43:10 PM,3:42:55 PM,3:43:29 PM
S_20_P_75_T_3.H00,20,75,4:14:53 PM,4:14:44 PM,4:15:07 PM
S_20_P_100_T_3.H00,20,100,4:39:56 PM,4:39:49 PM,4:40:08 PM